Team1	Score1	Team2	Score2
ORL	84	NOP	101
DAL	100	SAS	101
HOU	108	LAL	90
MIL	106	CHA	108
PHI	91	IND	103
BKN	105	BOS	121
WAS	95	MIA	107
ATL	102	TOR	109
MIN	101	MEM	105
CHI	104	NYK	80
DET	79	DEN	89
HOU	104	UTA	93
LAL	99	PHX	119
GSW	95	SAC	77
OKC	89	POR	106
WAS	105	ORL	98
DET	91	MIN	97
NYK	95	CLE	90
UTA	102	DAL	120
OKC	90	LAC	93
MEM	97	IND	89
CLE	114	CHI	108
PHI	81	MIL	93
SAS	89	PHX	94
POR	94	SAC	103
LAC	118	LAL	111
DAL	109	NOP	104
MEM	71	CHA	69
TOR	108	ORL	95
MIA	114	PHI	96
MIL	97	WAS	108
IND	92	ATL	102
BKN	102	DET	90
BOS	90	HOU	104
CHI	106	MIN	105
DEN	91	OKC	102
PHX	91	UTA	118
LAL	104	GSW	127
SAC	98	LAC	92
TOR	102	MIA	107
CHA	93	NYK	96
GSW	95	POR	90
HOU	104	PHI	93
OKC	85	BKN	116
NOP	81	MEM	93
BOS	113	DAL	118
SAC	110	DEN	105
UTA	101	LAC	107
MIL	87	IND	81
HOU	108	MIA	91
WAS	98	NYK	83
OKC	88	TOR	100
ORL	90	CHI	98
CHA	91	NOP	100
CLE	82	POR	101
PHX	112	LAL	106
MIA	89	CHA	96
ORL	91	PHI	89
TOR	110	BOS	107
MIN	98	BKN	91
NYK	95	DET	98
CHI	95	MIL	86
IND	94	WAS	96
ATL	92	SAS	94
MEM	102	PHX	91
CLE	100	UTA	102
DEN	109	SAC	131
LAC	104	GSW	121
SAS	81	HOU	98
DAL	87	POR	108
ATL	119	CHA	122
MIN	103	ORL	112
CHI	118	PHI	115
IND	98	BOS	101
NYK	99	BKN	110
MIL	95	DET	98
WAS	84	TOR	103
MEM	91	OKC	89
SAC	114	PHX	112
DAL	105	UTA	82
CLE	110	DEN	101
POR	102	LAC	106
WAS	97	IND	90
NYK	96	ATL	103
MIN	92	MIA	102
BOS	106	CHI	101
GSW	98	HOU	87
MEM	92	MIL	93
NOP	100	SAS	99
ORL	96	BKN	104
UTA	97	DET	96
SAC	93	OKC	101
PHI	88	TOR	120
MIA	105	DAL	96
GSW	95	PHX	107
DEN	100	POR	116
CHA	92	LAL	107
NOP	111	CLE	118
UTA	86	IND	97
ATL	91	NYK	85
DET	91	CHI	102
SAS	89	LAC	85
ORL	100	TOR	104
LAL	102	MEM	107
OKC	78	MIL	85
SAC	98	DAL	106
CHA	100	POR	102
SAS	113	GSW	100
DET	103	WAS	107
UTA	97	ATL	100
OKC	109	BOS	94
IND	81	MIA	75
ORL	97	NYK	95
LAL	102	NOP	109
POR	130	DEN	113
BKN	104	PHX	112
HOU	113	MIN	101
SAC	110	MEM	111
CHI	100	TOR	93
PHI	70	DAL	123
BKN	99	GSW	107
DEN	108	IND	87
MIL	85	ORL	101
MIA	103	ATL	114
CLE	122	BOS	121
UTA	102	NYK	100
PHI	87	HOU	88
MIN	91	NOP	139
DET	96	OKC	89
CHA	103	PHX	95
SAS	93	LAL	80
ORL	93	WAS	98
ATL	94	CLE	127
UTA	93	TOR	111
IND	99	CHI	90
DET	88	MEM	95
MIN	117	DAL	131
BKN	87	POR	97
SAS	91	SAC	94
CHA	87	GSW	112
PHX	107	LAC	120
DEN	93	NYK	109
MIL	91	MIA	84
HOU	69	OKC	65
GSW	136	LAL	115
DAL	107	CHA	80
DEN	106	CLE	97
PHX	118	BOS	114
MIA	95	BKN	83
ORL	107	DET	93
HOU	93	MEM	119
PHI	75	SAS	100
NOP	93	POR	102
CHI	105	LAC	89
LAL	114	ATL	109
NYK	113	MIL	117
OKC	81	UTA	98
NOP	106	SAC	100
SAS	92	CLE	90
CHA	86	IND	88
LAC	114	ORL	90
BOS	101	PHI	90
DAL	105	WAS	102
MIL	122	BKN	118
PHX	88	DET	86
MEM	92	TOR	96
NYK	99	MIN	115
OKC	100	DEN	107
LAL	98	HOU	92
LAC	110	MIA	93
CHI	88	SAC	103
ORL	105	CHA	100
PHX	122	PHI	96
DET	89	ATL	99
MIL	82	TOR	124
BOS	100	MEM	117
SAS	121	MIN	92
BKN	94	OKC	92
CLE	78	WAS	91
LAL	106	DAL	140
NOP	97	DEN	117
UTA	88	GSW	101
CHI	87	POR	105
PHX	106	IND	83
MIA	99	ORL	92
TOR	110	CLE	93
PHI	83	NYK	91
DAL	92	HOU	95
